,date,totalLiquidityUSD,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
242,2020-10-07,935999848.1328484,0.507,0.53000000,0.45500000,0.52600000,18502756.36900000,1602115199999.0,8940017.07218200,29177.0,9008212.28600000,4349806.24499800,0
243,2020-10-08,948077521.5340495,0.526,0.57900000,0.46200000,0.56100000,18193662.36400000,1602201599999.0,9424751.66341500,30526.0,9079516.66300000,4707332.02682500,0
244,2020-10-09,1018925571.1796424,0.559,0.63900000,0.51800000,0.62300000,17919160.82400000,1602287999999.0,10438065.67898900,30041.0,8842941.67700000,5155543.63400500,0
245,2020-10-10,1029795310.0336292,0.623,0.64700000,0.54700000,0.55800000,11517182.20200000,1602374399999.0,6858960.78652800,22097.0,5402841.34500000,3229419.60021100,0
246,2020-10-11,1046922922.0701612,0.559,0.58000000,0.52500000,0.55900000,8386741.99800000,1602460799999.0,4659447.11810300,15783.0,3984350.43900000,2216652.53116700,0
247,2020-10-12,1037052276.9602062,0.558,0.59900000,0.53600000,0.57100000,8421794.85000000,1602547199999.0,4797452.96737900,16273.0,4024397.28700000,2297054.40710200,0
248,2020-10-13,1035510529.4960194,0.571,0.57400000,0.53200000,0.54500000,6544549.23400000,1602633599999.0,3633465.05722000,12634.0,3093497.55800000,1718738.80580900,0
249,2020-10-14,944655887.9588286,0.548,0.55400000,0.47800000,0.50300000,10776793.69600000,1602719999999.0,5536062.39611000,20637.0,4803398.52100000,2469740.73449300,0
250,2020-10-15,936519484.3227212,0.503,0.50800000,0.48000000,0.49900000,7385313.06700000,1602806399999.0,3649781.34003000,13039.0,3698502.98000000,1830190.13368900,0
251,2020-10-16,933528660.1644621,0.499,0.51400000,0.42500000,0.43100000,11489728.59600000,1602892799999.0,5293727.28872300,20075.0,5124922.42400000,2363683.73045700,0
252,2020-10-17,938935597.7065821,0.431,0.45600000,0.41800000,0.43600000,8144632.47000000,1602979199999.0,3558051.82133000,15389.0,4031149.34700000,1763500.73395400,0
253,2020-10-18,941576362.944749,0.435,0.47500000,0.43400000,0.45500000,7111837.52500000,1603065599999.0,3226194.64458500,13233.0,3343974.68800000,1514228.27556800,0
254,2020-10-19,915915627.3094773,0.456,0.45800000,0.40800000,0.41300000,10101635.20400000,1603151999999.0,4357363.17937300,17431.0,4476342.09300000,1931693.22525700,0
255,2020-10-20,939604191.491097,0.413,0.41700000,0.35400000,0.35900000,15231672.33000000,1603238399999.0,5782554.33126900,20331.0,7135672.18000000,2712118.94691500,0
256,2020-10-21,865088677.8910518,0.358,0.40400000,0.35700000,0.38400000,13041921.65200000,1603324799999.0,4933872.00533600,17767.0,6670368.54500000,2526735.02379200,0
257,2020-10-22,796419331.1012872,0.383,0.43100000,0.38200000,0.40900000,11217181.43900000,1603411199999.0,4584902.30030200,17302.0,5736298.27800000,2346715.21692100,0
