,_id,active,addr,createdAt,lastAt,lastPaidAt,network,rank,status,txHash,txOutIdx,ver
30,60663f93dfa630d5099fdaf9,9330741,WV9NtH8daHTahn1vuhnaHmUpMo7YibxyHY,2021-04-01T21:48:00.000Z,2021-04-01T21:39:55.000Z,2021-04-01T21:19:48.000Z,ipv4,733,ENABLED,715582b882caba5c2b2156e98cdc238df4922223021291af40300a37ad46d782,1,70928
31,60663f92dfa630d5099fd910,8591334,WmCCPxoaHkdJUUYBJzpcNm59ZgUcnCGgtk,2021-04-01T21:48:00.000Z,2021-04-01T21:41:11.000Z,2021-04-01T21:17:50.000Z,ipv6,244,ENABLED,cb28f2cd61c3986179d3d4c35e56b6225c3709d4d98f707f1ef630b418499e98,1,70928
32,60663f93dfa630d5099fde9e,8653195,WmTBkr6UmCdUUNWMGM4vfMKQCsb76v5toV,2021-04-01T21:48:00.000Z,2021-04-01T21:44:12.000Z,2021-04-01T21:14:57.000Z,ipv4,1666,ENABLED,7e5108b0366b503e335f387eafeca1b7242e451f83a2e529c671329e09e60a66,0,70928
33,60663f93dfa630d5099fddd2,7959415,WSJGiYGiEfEVJ6eLvWtP5tLsUyf1jrDr6p,2021-04-01T21:48:00.000Z,2021-04-01T21:45:27.000Z,2021-04-01T21:14:53.000Z,ipv4,1462,ENABLED,cf134308de6328493dc209135da4fd058d77d7739405018a8fefd70d0dcccf80,1,70928
34,60663f93dfa630d5099fdc87,8308371,WSFPANkwy144rKumQCEdren46ZWj9qLw8y,2021-04-01T21:48:00.000Z,2021-04-01T21:43:19.000Z,2021-04-01T21:11:45.000Z,ipv6,1131,ENABLED,73a3baf207290c1d073e5ff5f574e83765f3d2dbfba97768ca03d4bd8f84be0a,1,70928
35,60663f93dfa630d5099fde35,8638462,WhHoW2G98NG8x5GPGkkM58xkoLuz8YV7W8,2021-04-01T21:48:00.000Z,2021-04-01T21:42:10.000Z,2021-04-01T21:10:59.000Z,ipv6,1561,ENABLED,f522a932d836dd660299ac86151c78d4e6dc2d4f08b52786f994e5faaa6a3463,1,70928
36,60663f93dfa630d5099fdaed,8600975,WXjfRMReeP32V78zS4r4nuzAqZKviKzpvx,2021-04-01T21:48:00.000Z,2021-04-01T21:45:12.000Z,2021-04-01T21:10:34.000Z,ipv4,721,ENABLED,7a9692dd285429a83fd1ff88a0f1f313a9bf2e0e030a2a6c060f8ee3218ca79e,1,70928
37,60663f93dfa630d5099fdfc4,7606691,Wah9MeYm8qCxQqhFncxQ9fe4fxGyU6pCQh,2021-04-01T21:48:00.000Z,2021-04-01T21:46:37.000Z,2021-04-01T21:07:48.000Z,ipv4,1960,ENABLED,11946c39847b3059abe8a7c8b20566b67aca21a40b8d4b77571a5ec58ff94b06,2,70928
38,60663f93dfa630d5099fe06c,6684173,WetfwLemm8wCkycJdQzdtFjtbHSTrURzez,2021-04-01T21:48:00.000Z,2021-04-01T21:40:44.000Z,2021-04-01T21:06:23.000Z,ipv4,2128,ENABLED,4758aefbc1c9284078e1dcb98beeaa6df55cf9ffaca8b3e15de38a28ffe41f68,0,70928
39,60663f93dfa630d5099fdbd5,7922274,WVyREefLsVKQ1pT8ks8cg8AeaUX1yYWY41,2021-04-01T21:48:00.000Z,2021-04-01T21:39:31.000Z,2021-04-01T21:05:55.000Z,ipv4,953,ENABLED,7404e1f8312d033db3c67231c82511e4580722c67b550111298771d708f138c9,1,70928
